"","nonViolent","Violent","medInc","pUnPov","notHSG","unem","meanFam","tPar","unmarry","foren","raceM","buget","age1","age2","age3","age4","divo","nevMa","dens","pubTran","workM","af","ca","as","hi","medRent","largeHH","urban","sq","logunem","logunmarry","logmedInc","logforen","logden","logaf","loghi","logmedRent","loglargeHH","logurban","logpubTran","crpubTran","ctPar","cnotHSG"
"29",1844,1240,40313,9.17,16.52,4.17,3.08,71.03,3.12,21.57,135,18,12.14,33.06,15.62,7.44,12.48,42.3,5980.4,3.03,70.72,1.33,84.31,6.56,20.05,759,8.6,100,35.213633723318,1.42791603581071,1.13783300182139,10.604429276562,3.07130346040107,8.69624273433977,0.285178942233662,2.99822915375258,6.63200177739563,2.15176220325946,4.60616968632117,1.10856261952128,1.44704113231843,358364.881727,4508.479808
"30",1733,443,31938,16.82,24.49,6.54,3.36,64.25,7.4,24.25,57,164,13.82,31.13,15.56,9.56,11.64,41.43,8287.7,6.3,57.56,13.68,58.38,13.57,23.62,551,11.98,100,21.0475651798492,1.87793716546911,2.00148000021012,10.3715518024008,3.18841661738349,9.02252776693294,2.6159349121944,3.16209381076922,6.31173480915291,2.4832385926873,4.60616968632117,1.84054963339749,1.84691475044783,265228.015625,14688.124849
"31",1395,1,23370,16.57,18.58,7.22,2.97,69.42,2.84,2.41,275,342,15.93,28.36,16.25,14.85,9.25,35.33,1220.6,5.85,69.97,0.87,95.89,0.9,0.6,287,3.17,100,1,1.97685495290473,1.04380405217311,10.0592084275329,0.879626747502564,7.10709782011039,-0.139262067333508,-0.510825623765991,5.65948221575962,1.15373158788919,4.60616968632117,1.76644166124377,1.80184994991457,334544.448888,6414.120712
"32",1047,917,43428,5.16,10.81,3.85,3.34,81.78,1.66,11.37,260,155,16.71,27.43,12.9,6.39,7.37,27.41,3265,0.78,70.12,3.48,93.08,2.12,7.12,576,4.02,100,30.2820078594534,1.34807314829969,0.506817602368452,10.6788596733517,2.43097830776244,8.09101504171053,1.24703229378638,1.96290772542388,6.35610766069589,1.39128190263093,4.60616968632117,-0.2484613592985,0.920516408251589,546942.055752,1263.214441
"33",2094,290,25741,15.86,21.78,7.06,3.06,68.95,4.42,4.21,127,329,13.29,27.17,12.7,10.67,13.7,27.65,705.8,0.89,70.22,15.98,74.78,2.36,4.95,282,4.94,98.74,17.0293863659264,1.95444505150515,1.48613969608961,10.1558403304343,1.43746264769429,6.55933191124117,2.77133794033813,1.5993875765806,5.64190707093811,1.59736533119983,4.59350238112041,-0.116533816255952,0.961900171607705,327795.367375,10331.743752
"34",1219,1382,35911,5.63,31.78,6.69,3.09,73.35,3.99,15.97,79,93,11.36,23.9,11.29,17.89,8.28,31.38,3278.7,5.81,68.58,20.01,76.76,1.5,7.36,528,4.9,100,37.1752605908822,1.90061387414014,1.38379123090177,10.4887989342287,2.77071196222692,8.09520228135074,2.99623214859564,1.99605993274078,6.26909628370626,1.58923520511658,4.60616968632117,1.75958057086382,1.79773377349929,394639.320375,32096.795752
"35",1833,1,23207,26.23,20.41,9.17,3.03,57.08,9.05,4.72,257,197,22.64,39.91,26.62,9.28,10.26,49.1,3153.6,2.49,66.93,18.75,77.28,1.87,2.68,357,5.65,100,1,2.21593728626837,2.20276475771183,10.0522092362828,1.55180879959746,8.05629993639845,2.93119375241642,0.985816794522765,5.87773578177964,1.73165554515835,4.60616968632117,0.912282710476616,1.35539677836124,185973.854912,8502.154921
"36",1476,274,44142,3.72,18.1,5.5,3.13,81.89,1.65,5.21,255,160,11.88,24.75,11.72,12.78,7.8,30.76,2135.7,2.79,71.53,1.52,96.79,1.03,2.31,656,4.03,100,16.5529453572468,1.70474809223843,0.500775287912489,10.6951669891603,1.65057985576528,7.66654974077794,0.418710334858185,0.837247524533702,6.48616078894409,1.39376637595859,4.60616968632117,1.02604159583327,1.40777981663696,549152.055269,5929.741
"37",1371,1314,26272,16.45,25.97,8.22,2.98,65.16,2.83,1.43,266,308,13.66,26.91,12.51,12.11,13.22,25.45,3013.5,0.12,67.18,8.9,89.54,0.68,1.73,276,3.5,100,36.2491379207837,2.10657020906809,1.04027671165515,10.1762590122522,0.357674444271816,8.0108574729231,2.18605127673809,0.548121408509688,5.62040086571715,1.25276296849537,4.60616968632117,-2.12026353620009,0.493242414866094,276657.996096,17515.230173
"38",1804,1611,28388,11.52,18.06,5.5,2.92,68.12,3.01,11.93,228,138,12.38,28.35,14.27,10.86,17.16,33.52,2247,5.12,73.31,2.88,86.07,4.86,11.11,419,4.87,100,40.137264480779,1.70474809223843,1.10194007876078,10.2537217996449,2.47905623610982,7.71735127218533,1.05779029414785,2.40784560365154,6.03787091992214,1.5830939370945,4.60616968632117,1.63315443905142,1.72354775202551,316099.579328,5890.514616
"39",2009,127,30534,12.47,15.88,5.96,3,64.32,4.64,5.22,273,129,15.96,33.02,18.56,11.59,9.91,42.44,3432.9,2.08,63.93,8.08,88.65,1.41,2.8,525,4.5,100,11.2694276695846,1.78507048107726,1.53471436623816,10.3265960958169,1.65249740189455,8.14116066399178,2.089391872533,1.02961941718116,6.26339826259162,1.50407739677627,4.60616968632117,0.732367893713227,1.27650085977198,266095.853568,4004.529472
"40",846,831,39014,6.28,11.62,5.17,3.13,77.88,1.57,3.39,280,265,14.29,25.69,11.86,7.05,9.97,25.54,3891.3,3.07,76.8,0.57,94.28,1.98,7.44,400,3.97,100,28.8270706107991,1.64287268852034,0.451075619360217,10.5716758350549,1.22082992139236,8.26649857101474,-0.562118918153541,2.006870848845,5.99146454710798,1.3787660946991,4.60616968632117,1.12167756159911,1.45338093345392,472365.127872,1568.983528
"41",1543,1257,26541,10.59,38.37,7.98,3.06,68.65,3.56,17.71,196,277,12.3,27.25,12.76,14.64,9.85,32.3,8027,3.18,75.63,3.59,89.25,0.65,7.17,374,4.17,100,35.4541958024717,2.07693841146172,1.26976054486394,10.1864459861515,2.87412945179474,8.99056613813158,1.27815220250019,1.96990565461153,5.92425579741453,1.42791603581071,4.60616968632117,1.15688119679209,1.47053615501837,323535.264625,56490.497253
"42",2097,1747,22697,16.4,16.96,5.58,3.13,70.53,3.07,8.29,188,141,13.62,29.8,14.84,12.73,12.95,35.03,1416.1,5.81,65.9,1.72,87.02,4.73,9.7,282,8.26,99.92,41.7971290880127,1.71918877639322,1.12167756159911,10.0299880361455,2.1150499691472,7.25566189322901,0.542324290825362,2.27212588550934,5.64190707093811,2.11142458753289,4.60537016599076,1.75958057086382,1.79773377349929,350850.137877,4878.401536
"43",2026,502,23963,17.72,27.54,5.67,2.99,55.39,9.15,2.01,64,90,15.36,30.22,16.48,14.26,12.41,37.72,2241.3,2.36,72.06,35.16,63.62,0.85,1.04,274,4.7,100,22.4053565024081,1.73518911773966,2.21375387928743,10.0842662530726,0.698134722070984,7.71481133364987,3.55990907281698,0.0392207131532813,5.61312810638807,1.54756250871601,4.60616968632117,0.858661619037519,1.33138604632837,169939.405819,20887.757064
"44",1820,645,20329,27.02,32.78,10.31,3.22,40.38,16.82,2.92,45,78,13.47,27.42,13.13,11.54,15.02,45.34,6234.9,12.67,68.51,50.6,42.59,1.76,7.68,296,8.37,100,25.3968501984006,2.33311429802887,2.8225686545448,9.91980371702106,1.07158361628019,8.73791781949314,3.92395157629342,2.03861954715958,5.69035945432406,2.12465388450138,4.60616968632117,2.53923699433305,2.33126801371845,65841.382872,35223.040952
"45",1992,568,18482,25.62,32.71,11.58,3.07,49.18,10.52,4.49,177,207,14.22,29.24,15.1,13.29,11.35,43.67,7798.2,13.43,60.14,30.65,64.75,0.99,4.92,255,5.41,100,23.832750575626,2.44927947214485,2.35327820730956,9.82455256444799,1.50185270175416,8.9616482168156,3.42263266238222,1.59330853050422,5.54126354515843,1.68824909285839,4.60616968632117,2.59749101053515,2.37697895999916,118950.308632,34997.871511
"46",2112,272,21885,27.52,33.63,10.85,3.25,52.66,10.59,0.96,138,63,17.83,30.27,15.79,9.77,11.74,35.73,1359.8,1.76,67.35,54.99,44.22,0.43,0.83,218,7.09,100,16.4924225024706,2.38416507998647,2.35991015961332,9.99355674962499,-0.0408219945202552,7.21509290909236,4.00715135051972,-0.186329578191493,5.38449506278909,1.95868534054404,4.60616968632117,0.56531380905006,1.20736214735954,146030.161096,38034.753147
"47",2083,1,18742,32.41,37.85,19.67,3.38,37.07,16.59,3.36,53,209,16.05,28.74,14.65,10.94,15.75,44.98,7153,10.57,57.3,75.67,21.63,0.82,2.77,265,11.01,100,1,2.97909463240097,2.80880010420235,9.83852227368377,1.21194097397511,8.87528712810838,4.32638178070643,1.01884732019925,5.57972982598622,2.39880395073459,4.60616968632117,2.35801979988215,2.19461492856743,50941.034243,54224.761625
"48",39,538,24884,13.25,23.64,4.69,2.73,55.96,4.87,6.47,139,213,10.72,22.78,11.3,21.45,15.18,30.93,3363.3,1.55,74.7,16.22,81.99,0.69,4.73,411,3.36,100,23.1948270094864,1.54543258245819,1.5830939370945,10.1219803056349,1.86717610851281,8.12067791382766,2.78624504868727,1.55392520250384,6.01859321449623,1.21194097397511,4.60616968632117,0.438254930931155,1.15729452726294,175239.948736,13211.204544
"49",1789,791,30967,13.92,26.11,6.89,3.27,60.05,8.94,29.33,8,84,13.63,33.47,16,6.72,13.15,40.44,11605.2,5.13,67.19,28.33,42.28,10.96,31.14,593,9.86,100,28.1247222208505,1.93007108502557,2.19053558918542,10.3406774003385,3.37861088298936,9.35920855251092,3.34392131384243,3.43849316640585,6.38519439899773,2.28848616861454,4.60616968632117,1.63510565918268,1.72466912368345,216540.450125,17800.025131
"50",1946,1961,22102,22.61,29.91,7.77,3.19,56.86,9.14,1.95,71,202,15.02,29.08,14.61,12.64,12.55,34.36,2121.4,6.22,70.07,51.31,46.85,1.15,1.42,281,7.15,100,44.2831796509691,2.05027016437956,2.21266038546606,10.0034233811487,0.667829372575655,7.65983152707137,3.93788566495387,0.350656871613169,5.63835466933375,1.96711235670592,4.60616968632117,1.82776990675109,1.83906379594575,183831.768856,26757.728271
"51",391,1371,65072,3.02,11.26,3.8,3.05,84.46,1.03,17.45,166,142,11.18,22.08,10.5,14.2,6.28,28.94,1178.4,15.77,51,2.13,93.26,3.49,4.42,875,4.45,86.54,37.0270171631472,1.33500106673234,0.0295588022415444,11.083249628147,2.85933964864844,7.07191286514842,0.756121979721334,1.48613969608961,6.77422388635761,1.49290409617815,4.46176160269273,2.75810940097495,2.50770953412776,602494.700536,1427.628376
"52",2060,214,28183,17.21,23.06,7.6,3.19,61.53,5.53,13.69,124,118,13,27.55,12.95,10.87,13.6,35.63,3702.5,4.1,62.6,15.3,60.09,15.01,16.25,429,8.5,100,14.6287388383278,2.02814824729229,1.71018781553424,10.2464742382676,2.61666563930036,8.21676354614195,2.72785282839839,2.78809290877575,6.06145691892802,2.14006616349627,4.60616968632117,1.41098697371026,1.60052066388316,232948.943577,12262.468616
"53",117,383,24462,13.96,26.03,6.59,2.84,63.38,4.84,4.27,144,30,13.18,24.59,12.95,20.31,11.86,25.33,1774.5,1.24,72.38,20.2,78.12,0.9,3.26,316,3.87,100,19.5703857907809,1.88555334851442,1.57691472072854,10.1048761720473,1.45161382724053,7.48127397208655,3.00568260440716,1.18172719537862,5.75574221358691,1.35325450704169,4.60616968632117,0.215111379616945,1.07433707098897,254599.006472,17636.910227
"54",738,899,21060,15.22,29.59,6.55,3.08,70.47,2.25,2.55,299,235,14.3,25.78,14.07,19.66,8.61,35.01,3131.4,3.02,63.29,1.58,97.18,0.91,0.67,252,5.18,100,29.9833287011299,1.87946504964716,0.810930216216329,9.95513078568797,0.936093359170335,8.04923546787742,0.457424847038875,-0.400477566597125,5.52942908751142,1.64480505627139,4.60616968632117,1.10525683138678,1.44544747339436,349955.492823,25908.060079
"55",1284,1121,60374,5.67,4.69,3.01,2.67,77.69,0.92,9.07,180,108,9.53,25.02,11.89,13.93,12.77,36.25,4589.7,0.95,56.16,0.35,95.81,2.89,3.97,961,1.99,100,33.4813380855664,1.10194007876078,-0.083381608939051,11.0083138276707,2.20497226412705,8.43156994144144,-1.04982212449868,1.3787660946991,6.86797440897029,0.688134638736401,4.60616968632117,-0.0512932943875506,0.983047572491558,468916.337609,103.161709
"56",1680,1346,52442,6.03,13.03,5.41,3.11,73.15,4.1,11.08,140,34,11.66,24.26,11.46,12.82,8.2,35.32,5776.7,19.72,74.62,31,65.5,2.27,3.31,670,5.91,100,36.6878726556883,1.68824909285839,1.41098697371026,10.8674630759757,2.40514168131914,8.66158786436534,3.43398720448515,1.19694818938897,6.50727771238501,1.77664583141801,4.60616968632117,2.98163334917449,2.70169075628927,391419.980875,2212.245127
"57",2010,65,24131,14.37,28.02,7.82,3.08,63.04,6.06,3.36,222,321,12.74,26.16,12.31,14.98,11.33,31.96,2796.3,3.63,73.5,20.9,76.03,0.87,3.36,325,5.82,100,8.06225774829855,2.05668455455722,1.80170980008122,10.0912525999485,1.21194097397511,7.93605239373522,3.03974915897077,1.21194097397511,5.78382518232974,1.76130026174335,4.60616968632117,1.28923264827676,1.53686436809526,250523.582464,21999.073608
"58",2101,758,30529,12.38,34.13,9.91,3.39,51.36,14.4,19.71,4,130,14.76,29.55,13.99,8.45,11.68,43.75,19984.9,19.9,74.98,70.08,22.43,2.17,10.58,500,11.09,100,27.5317997958724,2.2935443483419,2.66722820658195,10.3264323305249,2.98112612116463,9.90273226738009,4.24963744662814,2.35896542643015,6.21460809842219,2.40604380136228,4.60616968632117,2.99071973173045,2.70988602617033,135479.955456,39756.565997
"59",1843,1717,34873,16.39,30.22,6.16,3.01,58.31,8.88,16.8,2,189,11.23,37.46,16.02,10.22,8.39,52.26,25331.5,52.59,56.09,5.52,78.97,4.43,30.05,511,5.5,100,41.4366987102013,1.81807677754543,2.18380155700408,10.459468169809,2.82137888640921,10.1398039595606,1.708377860289,3.40286266098122,6.2363695902037,1.70474809223843,4.60616968632117,3.96252598760125,3.74657464992425,198257.271191,27598.366648
"60",1927,528,33414,12.66,21.98,6.2,3.21,67.71,4.91,33.98,123,199,10.07,26.71,12.21,12.88,10.61,48.19,14962.8,34.88,68.6,10.92,53.56,29.13,13.91,613,10.29,100,22.9782505861521,1.82454929205105,1.59127394180643,10.4167302528177,3.52577211624379,9.61332239979054,2.39059597031676,2.63260800593535,6.41836493593621,2.33117254984596,4.60616968632117,3.55191359904078,3.26732366812151,310426.252011,10618.986392
"61",1173,998,36211,7.31,27.41,5.13,3.06,71.18,3.36,6.02,312,301,12.01,26.89,12,13.05,9.59,31.63,2417.9,0.75,72.69,4.29,89.66,0.7,13.69,453,3.85,100,31.5911379978626,1.63510565918268,1.21194097397511,10.4971182190588,1.79508725932073,7.79065467382657,1.45628673293993,2.61666563930036,6.11589212548303,1.34807314829969,4.60616968632117,-0.287682072451781,0.90856029641607,360640.047032,20593.355021
"62",46,451,35997,9.35,12.51,4.81,2.8,69.12,3.53,25.3,219,175,7.62,21.72,8.68,14.05,13.78,43.11,10143,5.41,65.1,4.51,82.8,6.39,14.05,498,4.22,100,21.2367605815953,1.57069708411767,1.26129787094521,10.4911908806325,3.23080439573347,9.22453909137599,1.50629715351459,2.64262239577975,6.21060007702465,1.43983512804792,4.60616968632117,1.68824909285839,1.75549294464759,330225.942528,1957.816251
